i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,H,1,23,585.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,24,628.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,25,480.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,26,401.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,27,503.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,28,416.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,29,74.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,30,22.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,31,1.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,3,13162.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,3,13660.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,3,260.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,4,154.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,5,162.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,6,148.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,7,110.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,8,85.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,9,70.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,10,59.0,-0.0,0.0,inf,1.0
