i,k,r,t,level,marginal,lower,upper,scale
Austria,medical,L,8,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,9,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,10,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,11,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,12,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,13,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,14,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,15,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,16,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,17,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,18,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,19,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,20,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,21,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,22,0.0,-0.0,0.0,inf,1.0
Austria,medical,L,23,0.0,-0.0,0.0,inf,1.0
