i,p,t,level,marginal,lower,upper,scale
France,food_clothing,6,0.0,-0.0,0.0,inf,1.0
France,food_clothing,7,0.0,-0.0,0.0,inf,1.0
France,food_clothing,8,5105.0,-0.0,0.0,inf,1.0
France,food_clothing,9,0.0,-0.0,0.0,inf,1.0
France,food_clothing,10,0.0,-0.0,0.0,inf,1.0
France,food_clothing,11,0.0,-0.0,0.0,inf,1.0
France,food_clothing,12,0.0,-0.0,0.0,inf,1.0
France,food_clothing,13,0.0,-0.0,0.0,inf,1.0
France,food_clothing,14,5925.0,-0.0,0.0,inf,1.0
France,food_clothing,15,0.0,-0.0,0.0,inf,1.0
France,food_clothing,16,0.0,-0.0,0.0,inf,1.0
France,food_clothing,17,0.0,-0.0,0.0,inf,1.0
France,food_clothing,18,4817.0,-0.0,0.0,inf,1.0
France,food_clothing,19,2856.0,-0.0,0.0,inf,1.0
France,food_clothing,20,1314.0,-0.0,0.0,inf,1.0
France,food_clothing,21,0.0,-0.0,0.0,inf,1.0
France,food_clothing,22,0.0,-0.0,0.0,inf,1.0
France,food_clothing,23,0.0,-0.0,0.0,inf,1.0
France,food_clothing,24,13149.0,-0.0,0.0,inf,1.0
France,food_clothing,25,0.0,-0.0,0.0,inf,1.0
France,food_clothing,26,0.0,-0.0,0.0,inf,1.0
France,food_clothing,27,0.0,-0.0,0.0,inf,1.0
France,food_clothing,28,0.0,-0.0,0.0,inf,1.0
France,food_clothing,29,0.0,-0.0,0.0,inf,1.0
France,food_clothing,30,46.0,-0.0,0.0,inf,1.0
France,food_clothing,31,0.0,-0.0,0.0,inf,1.0
France,housing,0,0.0,-0.0,0.0,inf,1.0
France,housing,1,0.0,-0.0,0.0,inf,1.0
France,housing,2,0.0,-0.0,0.0,inf,1.0
France,housing,3,0.0,-0.0,0.0,inf,1.0
France,housing,4,0.0,-0.0,0.0,inf,1.0
France,housing,5,0.0,-0.0,0.0,inf,1.0
France,housing,6,0.0,-0.0,0.0,inf,1.0
France,housing,7,9649.0,-0.0,0.0,inf,1.0
France,housing,8,0.0,-0.0,0.0,inf,1.0
France,housing,9,0.0,-0.0,0.0,inf,1.0
France,housing,10,3135.0,-0.0,0.0,inf,1.0
France,housing,11,0.0,-0.0,0.0,inf,1.0
France,housing,12,0.0,-0.0,0.0,inf,1.0
France,housing,13,0.0,-0.0,0.0,inf,1.0
France,housing,14,0.0,-0.0,0.0,inf,1.0
France,housing,15,0.0,-0.0,0.0,inf,1.0
France,housing,16,0.0,-0.0,0.0,inf,1.0
France,housing,17,503.0,-0.0,0.0,inf,1.0
France,housing,18,0.0,-0.0,0.0,inf,1.0
France,housing,19,2573.0,-0.0,0.0,inf,1.0
France,housing,20,1827.0,-0.0,0.0,inf,1.0
France,housing,21,1039.0,-0.0,0.0,inf,1.0
France,housing,22,387.0,-0.0,0.0,inf,1.0
France,housing,23,0.0,-0.0,0.0,inf,1.0
France,housing,24,344.0,-0.0,0.0,inf,1.0
France,housing,25,0.0,-0.0,0.0,inf,1.0
France,housing,26,2239.0,-0.0,0.0,inf,1.0
France,housing,27,0.0,-0.0,0.0,inf,1.0
France,housing,28,0.0,-0.0,0.0,inf,1.0
France,housing,29,0.0,-0.0,0.0,inf,1.0
France,housing,30,0.0,-0.0,0.0,inf,1.0
France,housing,31,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,0,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,1,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,2,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,3,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,4,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,5,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,6,4013.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,7,2441.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,8,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,9,23251.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,10,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,11,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,12,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,13,0.0,-0.0,0.0,inf,1.0
