i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,H,1,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,1,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,2,13660.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,3,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,2,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,3,1,0.0,-0.0,0.0,inf,1.0
