i,s,t,level,marginal,lower,upper,scale
Hungry,info_legal,1,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,2,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,3,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,4,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,5,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,6,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,7,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,8,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,9,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,10,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,11,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,12,0.0,1000.0,0.0,inf,1.0
Hungry,info_legal,13,1.0,1000.0,0.0,inf,1.0
Hungry,info_legal,14,1.0,1000.0,0.0,inf,1.0
Hungry,info_legal,15,1.0,1000.0,0.0,inf,1.0
Hungry,info_legal,16,1.0,1000.0,0.0,inf,1.0
Hungry,info_legal,17,1.0,1000.0,0.0,inf,1.0
Hungry,info_legal,18,3.0,1000.0,0.0,inf,1.0
Hungry,info_legal,19,3.0,1000.0,0.0,inf,1.0
Hungry,info_legal,20,6.0,1000.0,0.0,inf,1.0
Hungry,info_legal,21,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,22,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,23,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,24,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,25,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,26,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,27,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,28,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,29,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,30,8.0,1000.0,0.0,inf,1.0
Hungry,info_legal,31,8.0,1000.0,0.0,inf,1.0
Hungry,medical,0,0.0,1200.0,0.0,inf,1.0
Hungry,medical,1,0.0,1200.0,0.0,inf,1.0
Hungry,medical,2,0.0,1200.0,0.0,inf,1.0
Hungry,medical,3,0.0,1200.0,0.0,inf,1.0
Hungry,medical,4,0.0,1200.0,0.0,inf,1.0
Hungry,medical,5,2.0,1200.0,0.0,inf,1.0
Hungry,medical,6,2.0,1200.0,0.0,inf,1.0
Hungry,medical,7,2.0,1200.0,0.0,inf,1.0
Hungry,medical,8,2.0,1200.0,0.0,inf,1.0
Hungry,medical,9,2.0,1200.0,0.0,inf,1.0
Hungry,medical,10,2.0,1200.0,0.0,inf,1.0
Hungry,medical,11,2.0,1200.0,0.0,inf,1.0
Hungry,medical,12,2.0,1200.0,0.0,inf,1.0
Hungry,medical,13,2.0,1200.0,0.0,inf,1.0
Hungry,medical,14,2.0,1200.0,0.0,inf,1.0
Hungry,medical,15,2.0,1200.0,0.0,inf,1.0
Hungry,medical,16,2.0,1200.0,0.0,inf,1.0
Hungry,medical,17,2.0,1200.0,0.0,inf,1.0
Hungry,medical,18,2.0,1200.0,0.0,inf,1.0
Hungry,medical,19,2.0,1200.0,0.0,inf,1.0
Hungry,medical,20,2.0,1200.0,0.0,inf,1.0
Hungry,medical,21,2.0,1200.0,0.0,inf,1.0
